content_velocity,user_reports_24h,prior_violations,model_confidence,account_age_days,engagement_spike_ratio,cross_border_content,content_type,region_risk_band,appeal_history,escalation_required
8.37,10,1,0.843,676.1,1.511,no,video,low,frequent,1
18.36,5,2,0.793,1600.6,1.509,no,text,medium,none,0
36.96,3,2,0.364,1624.3,0.941,no,text,low,some,0
50.17,3,3,0.525,108.9,1.126,no,text,medium,some,1
4.01,4,0,0.485,445.5,1.961,no,multimodal,high,some,0
29.71,5,0,0.395,189.5,2.331,no,text,low,some,0
27.66,3,1,0.821,718.8,1.882,no,multimodal,low,none,0
35.55,4,2,0.99,465.6,2.293,no,text,medium,none,1
10.88,4,2,0.639,1114.9,1.004,no,multimodal,medium,none,0
11.09,3,1,0.817,547.0,0.56,no,video,low,none,0
69.23,5,2,0.918,1451.6,1.324,no,multimodal,medium,none,1
14.51,6,1,0.713,1667.7,1.752,no,video,low,none,0
21.48,5,0,0.676,1415.6,0.423,yes,multimodal,medium,none,0
23.32,5,2,0.641,50.1,0.887,no,video,medium,none,1
16.87,2,2,0.766,670.4,0.942,no,text,low,none,0
42.56,3,3,0.82,413.4,1.528,no,multimodal,low,none,1
40.0,3,0,0.754,466.2,1.464,no,video,medium,none,0
26.7,2,2,0.748,989.3,0.962,yes,text,medium,none,0
17.74,6,2,0.672,436.9,1.44,yes,text,high,some,1
25.06,3,2,0.425,573.6,0.778,no,video,medium,some,0
31.65,2,3,0.824,598.3,1.137,yes,multimodal,medium,frequent,1
15.7,2,1,0.474,73.4,0.718,no,multimodal,medium,frequent,1
44.85,4,2,0.779,385.3,1.275,no,text,medium,some,1
59.29,2,0,0.801,1169.4,0.95,yes,video,low,some,0
77.28,0,1,0.498,59.7,1.695,no,text,low,none,0
74.15,4,2,0.583,818.4,1.337,no,text,medium,none,1
23.2,2,1,0.99,257.3,1.237,no,multimodal,low,frequent,1
32.86,4,1,0.667,405.7,2.234,no,text,low,frequent,1
26.3,4,1,0.485,935.0,1.542,no,image,low,none,0
26.23,3,0,0.808,204.4,1.166,yes,text,high,none,0
24.92,0,0,0.556,435.1,1.058,no,text,medium,none,0
30.14,2,1,0.373,109.3,0.759,no,text,high,none,1
66.04,2,1,0.763,739.8,1.317,no,text,high,none,0
37.79,3,0,0.533,285.5,1.504,no,image,medium,none,0
10.42,4,0,0.731,143.0,0.393,no,multimodal,medium,none,1
57.58,4,1,0.55,547.4,0.668,no,text,medium,some,0
35.19,5,0,0.793,103.8,1.092,no,multimodal,medium,some,1
42.91,4,1,0.709,396.2,0.801,no,video,high,some,1
37.24,5,1,0.266,263.0,1.372,no,text,medium,none,1
38.5,3,1,0.741,641.3,1.441,no,text,medium,none,0
39.81,7,2,0.634,651.9,1.289,no,text,medium,some,1
5.13,1,1,0.907,305.7,1.625,yes,multimodal,medium,none,0
42.52,2,2,0.743,1427.8,1.058,yes,video,low,frequent,0
16.31,7,1,0.801,1129.3,1.327,no,text,low,none,0
20.1,0,4,0.566,229.6,0.848,no,text,low,none,0
29.96,4,1,0.554,2283.1,1.492,no,text,low,none,0
85.44,1,0,0.676,904.0,1.388,yes,video,medium,none,1
12.22,5,2,0.622,694.4,0.751,yes,text,low,none,0
29.18,3,1,0.894,728.8,1.272,no,video,high,none,1
24.44,2,0,0.655,175.3,1.331,no,video,low,none,0
57.01,3,2,0.484,1257.5,1.491,no,video,low,none,0
23.9,3,0,0.548,74.1,1.509,no,text,medium,some,0
35.49,3,1,0.834,725.7,0.989,no,image,low,none,0
12.25,1,1,0.653,1139.8,1.732,no,image,low,some,0
63.69,3,1,0.645,247.4,1.612,no,multimodal,low,some,0
7.65,0,0,0.85,949.9,0.988,no,image,medium,none,0
42.11,2,2,0.534,588.1,0.779,yes,image,low,none,0
35.65,2,1,0.322,992.5,1.026,no,text,medium,none,0
39.57,2,0,0.544,1104.0,0.614,yes,video,low,none,0
7.77,6,1,0.719,1516.1,1.454,no,video,low,some,0
23.5,2,3,0.64,1296.5,1.942,no,video,low,frequent,0
55.12,4,0,0.43,87.4,2.061,no,video,low,none,0
94.0,2,2,0.843,234.8,0.805,no,multimodal,medium,none,1
27.52,4,2,0.706,782.3,1.743,no,multimodal,low,some,1
51.58,2,2,0.742,1114.4,1.392,yes,text,medium,none,1
33.14,7,0,0.747,205.6,0.2,no,text,high,none,1
28.64,5,1,0.472,891.0,1.184,no,multimodal,low,none,0
21.36,7,0,0.728,1360.3,1.128,no,video,high,none,0
30.07,1,1,0.825,1085.0,1.955,no,multimodal,medium,none,1
48.42,5,1,0.862,881.1,0.915,no,image,medium,frequent,1
51.23,4,0,0.795,518.1,1.632,no,multimodal,high,some,1
9.48,1,0,0.762,498.4,1.296,no,text,low,none,0
19.8,0,1,0.402,2041.3,0.627,no,video,medium,frequent,0
11.68,1,0,0.678,357.3,1.074,no,image,medium,none,0
31.23,2,2,0.527,234.9,2.116,no,text,medium,none,1
22.83,2,0,0.885,142.0,1.263,no,text,low,frequent,0
38.61,0,2,0.861,843.0,1.803,yes,text,low,some,1
40.57,3,0,0.528,761.0,1.776,no,text,high,some,0
2.5,4,0,0.673,555.8,1.126,yes,multimodal,medium,none,1
29.89,3,1,0.72,760.6,0.708,no,multimodal,low,none,0
66.93,1,1,0.824,991.8,0.774,no,multimodal,low,frequent,0
19.81,5,0,0.412,461.0,2.076,no,multimodal,medium,none,1
19.33,2,0,0.326,800.3,1.426,no,multimodal,low,some,0
59.25,2,0,0.686,427.8,0.483,no,multimodal,low,some,0
52.89,3,1,0.275,819.9,1.767,yes,text,high,none,1
12.83,3,1,0.705,1366.3,0.457,yes,text,low,some,0
49.34,1,3,0.775,1062.8,0.937,no,multimodal,low,frequent,0
15.54,0,1,0.878,1698.9,1.391,no,image,medium,some,0
19.16,6,2,0.58,358.9,2.61,no,video,low,none,1
12.82,5,1,0.706,292.3,1.758,no,video,low,none,0
9.41,3,1,0.784,748.4,1.109,yes,text,medium,none,0
32.62,5,0,0.492,368.5,1.364,yes,text,medium,none,0
8.03,4,2,0.826,845.9,1.81,yes,multimodal,low,frequent,1
33.62,2,2,0.724,640.9,2.061,no,video,medium,frequent,0
32.84,5,2,0.583,238.4,1.226,no,image,medium,none,1
26.57,5,2,0.703,773.3,1.241,yes,video,medium,some,1
20.59,3,0,0.658,253.9,0.935,no,image,medium,frequent,1
17.38,2,0,0.805,1433.4,1.683,no,image,medium,none,0
11.35,5,0,0.622,469.0,1.863,no,video,low,none,0
77.67,2,2,0.716,289.6,0.381,no,image,medium,none,1
25.65,3,0,0.581,655.6,1.152,no,multimodal,low,none,0
24.98,7,1,0.53,710.2,0.743,yes,image,low,frequent,0
13.39,3,2,0.707,348.8,1.425,yes,multimodal,high,none,1
72.27,2,1,0.537,334.9,0.731,yes,multimodal,low,none,1
18.33,0,0,0.808,102.4,0.69,no,multimodal,low,some,0
36.03,6,1,0.775,1023.5,1.912,no,multimodal,low,some,0
41.22,2,1,0.558,1406.2,1.267,no,video,medium,frequent,0
32.64,4,0,0.714,1135.6,1.32,no,video,high,some,0
7.83,1,1,0.557,281.7,1.566,no,video,low,none,0
47.88,1,2,0.423,758.6,1.835,no,text,high,frequent,0
18.17,4,1,0.584,663.5,1.141,no,text,low,none,0
52.52,4,0,0.672,135.4,1.152,no,text,high,none,0
28.47,4,0,0.763,346.5,1.154,no,multimodal,high,none,1
43.02,6,1,0.704,719.7,1.891,no,text,low,none,1
69.1,4,2,0.825,59.8,1.316,no,video,high,none,1
46.65,5,0,0.523,203.4,1.204,yes,text,low,some,1
43.77,4,0,0.62,940.2,1.545,yes,text,medium,none,0
49.41,6,1,0.943,273.2,2.266,yes,video,low,none,1
15.06,5,1,0.371,137.4,1.387,yes,multimodal,low,frequent,1
54.07,2,1,0.608,1094.9,1.215,yes,image,high,some,0
24.12,5,1,0.509,273.2,2.321,no,multimodal,medium,some,1
24.75,4,3,0.649,945.3,2.015,no,text,medium,some,0
31.87,2,2,0.61,1672.2,1.942,no,image,high,none,0
22.36,3,2,0.776,197.3,1.1,yes,text,low,none,1
12.39,4,2,0.721,482.6,1.05,yes,text,low,some,0
30.07,0,0,0.471,668.4,0.433,yes,text,medium,some,0
24.85,2,1,0.586,1081.1,1.832,yes,text,low,none,0
24.15,5,0,0.68,345.2,1.388,no,video,medium,none,0
27.77,3,0,0.798,23.8,0.45,yes,video,low,none,0
2.89,8,1,0.99,197.2,1.951,yes,text,low,none,1
24.29,2,0,0.792,406.3,1.181,no,multimodal,low,none,0
74.92,5,0,0.518,944.0,1.243,no,video,low,none,0
71.01,2,0,0.665,486.6,0.594,yes,text,low,none,0
30.87,1,3,0.709,900.1,1.596,no,image,low,none,0
30.09,2,1,0.597,394.2,1.601,no,text,low,some,0
1.94,3,3,0.755,621.6,1.326,no,multimodal,medium,none,0
19.07,1,1,0.317,994.9,1.141,no,image,medium,none,0
49.06,4,1,0.769,1185.4,2.663,no,text,low,none,0
21.93,2,2,0.604,1926.2,0.748,no,text,low,some,0
60.87,2,0,0.662,686.8,0.989,yes,text,low,none,0
58.39,2,4,0.915,78.3,1.704,no,image,low,frequent,1
18.75,6,1,0.478,777.8,0.843,no,video,medium,none,0
32.64,2,3,0.724,71.8,0.806,no,multimodal,low,some,1
78.9,1,0,0.807,846.8,1.916,no,text,high,none,0
7.64,2,1,0.707,604.8,1.653,no,text,low,some,0
22.33,5,2,0.422,1141.3,1.592,no,text,low,some,0
6.84,7,0,0.896,392.0,1.441,no,image,medium,none,1
14.11,6,1,0.646,627.2,1.004,no,video,low,none,0
94.37,5,0,0.596,787.6,1.224,no,multimodal,low,none,0
22.32,2,0,0.63,33.6,1.31,no,multimodal,low,none,0
3.92,4,2,0.619,761.1,1.773,no,text,medium,frequent,0
12.27,5,0,0.49,290.3,1.563,yes,multimodal,high,none,1
6.06,4,2,0.706,703.9,0.886,no,multimodal,low,some,0
33.59,8,0,0.584,55.4,1.745,no,text,high,none,1
40.78,4,0,0.787,875.7,0.511,no,multimodal,medium,none,0
54.57,3,2,0.763,823.6,1.19,yes,video,medium,some,1
47.24,2,2,0.94,1106.9,0.779,no,multimodal,low,none,0
8.04,3,0,0.646,102.4,0.921,no,image,high,none,0
39.32,3,1,0.551,1889.6,2.313,no,text,low,none,0
26.84,2,4,0.445,163.3,0.615,no,multimodal,low,none,1
60.03,6,0,0.99,623.9,0.94,no,image,medium,frequent,1
51.03,4,1,0.786,412.9,1.605,no,multimodal,high,none,1
102.51,0,2,0.569,496.8,1.115,no,text,low,none,0
13.21,1,0,0.951,1707.1,1.428,no,image,low,none,0
11.52,6,0,0.897,189.3,2.065,no,video,high,none,1
20.06,9,1,0.464,1531.1,1.677,no,video,medium,none,0
27.68,0,1,0.559,967.4,1.116,no,image,medium,none,0
16.9,1,1,0.659,542.2,1.283,no,video,low,none,0
13.85,1,2,0.509,537.8,1.615,no,video,low,none,0
37.46,4,1,0.665,826.1,1.667,yes,video,high,some,1
20.01,0,1,0.794,388.3,1.36,no,text,low,none,0
16.29,5,1,0.46,454.1,1.53,no,video,medium,some,0
8.02,5,4,0.727,621.2,1.531,no,video,medium,none,1
2.21,2,5,0.867,1414.2,1.304,no,multimodal,high,none,1
72.52,2,0,0.744,491.2,1.047,no,video,medium,frequent,0
71.09,5,2,0.668,88.3,1.721,no,image,low,none,0
52.11,4,1,0.573,641.3,1.496,yes,text,medium,none,1
43.9,3,2,0.813,515.2,0.31,yes,text,high,none,0
18.5,2,1,0.492,314.7,0.937,no,text,high,none,0
45.17,3,1,0.719,718.8,1.11,no,video,low,none,0
10.74,2,2,0.684,324.5,1.249,no,multimodal,low,none,0
32.06,1,2,0.86,481.4,1.952,yes,multimodal,medium,none,1
15.09,7,0,0.587,623.3,2.951,yes,video,medium,none,1
45.31,4,1,0.6,671.2,0.2,yes,video,low,none,0
82.44,6,0,0.481,762.7,1.502,no,video,low,none,0
12.23,4,1,0.75,843.0,1.385,no,image,low,some,0
19.28,5,1,0.612,613.0,1.26,yes,video,low,some,0
31.61,3,1,0.542,115.0,1.621,no,image,low,none,0
4.55,0,1,0.557,689.8,1.425,no,image,high,none,0
6.4,3,1,0.766,1085.9,1.169,no,multimodal,medium,some,0
80.85,1,3,0.504,85.2,1.365,yes,video,low,none,1
37.58,3,2,0.518,116.4,1.628,no,text,medium,frequent,1
17.64,7,1,0.823,279.1,1.581,no,video,low,some,1
29.11,3,1,0.653,1038.8,1.444,yes,multimodal,medium,none,0
20.13,5,1,0.833,264.3,1.058,yes,text,high,some,1
32.32,4,1,0.623,1049.2,2.76,no,multimodal,low,none,0
20.76,3,2,0.68,658.4,1.53,no,multimodal,high,none,0
27.4,2,2,0.705,337.3,1.731,no,video,low,frequent,0
48.17,3,0,0.902,2993.3,1.096,no,text,medium,some,0
46.01,6,1,0.889,166.2,1.445,yes,text,high,none,1
77.86,7,2,0.865,561.1,1.441,no,text,medium,some,1
39.53,3,0,0.579,235.2,0.394,no,image,low,none,0
30.55,5,1,0.522,714.0,0.992,no,multimodal,low,some,0
85.59,0,2,0.802,245.7,0.982,no,multimodal,low,frequent,1
25.21,5,1,0.9,380.0,1.05,no,text,low,some,1
2.55,3,0,0.866,291.3,0.815,no,image,low,none,0
52.55,3,1,0.682,443.7,1.372,yes,image,low,none,0
36.2,1,0,0.796,1078.7,2.049,no,image,medium,some,0
29.46,2,2,0.799,141.7,1.415,no,video,low,none,0
53.52,4,1,0.704,268.5,0.759,no,multimodal,low,frequent,1
20.91,6,0,0.711,394.1,0.835,yes,image,medium,none,0
2.74,1,1,0.696,458.9,1.161,yes,text,low,none,0
54.25,4,2,0.554,1350.1,0.642,no,video,medium,none,0
17.11,4,1,0.57,280.3,1.502,no,text,medium,none,0
12.69,2,0,0.568,1045.5,2.027,yes,multimodal,medium,none,0
2.95,3,2,0.424,1469.6,1.062,yes,multimodal,medium,none,0
51.15,2,1,0.703,482.9,1.388,no,text,medium,frequent,0
1.39,2,2,0.674,220.1,1.136,no,video,medium,none,0
68.74,0,2,0.802,1233.0,1.035,yes,multimodal,medium,none,1
22.63,3,1,0.882,982.8,1.445,no,image,medium,none,0
52.85,2,0,0.892,199.8,1.018,no,image,high,some,1
40.4,6,0,0.907,1627.5,0.946,yes,multimodal,low,none,0
96.1,6,0,0.559,304.4,0.54,yes,text,low,some,1
39.61,6,1,0.451,477.0,1.382,no,video,medium,none,0
67.04,1,1,0.829,869.6,1.884,no,text,medium,none,1
18.76,2,0,0.901,1495.5,1.704,no,text,medium,none,0
6.37,3,1,0.929,683.6,2.096,no,multimodal,low,none,1
58.57,1,1,0.758,437.5,1.013,no,video,low,none,0
6.15,6,1,0.361,386.9,1.775,no,video,medium,none,0
50.76,4,1,0.738,437.2,0.799,no,text,medium,none,0
11.31,3,1,0.769,2255.5,1.705,no,multimodal,low,some,0
36.72,1,0,0.88,755.6,2.172,no,text,high,none,1
97.28,5,1,0.909,614.9,1.599,yes,video,medium,some,1
48.03,3,2,0.826,990.1,2.181,no,text,medium,none,1
25.3,3,2,0.586,462.5,1.051,no,video,high,some,1
41.08,6,0,0.515,1442.3,1.283,no,video,low,frequent,0
19.35,1,1,0.765,802.7,0.892,yes,image,low,none,0
122.05,2,0,0.553,428.6,1.367,no,image,low,none,0
16.0,3,0,0.916,359.1,1.485,no,image,low,none,0
27.53,4,0,0.407,99.4,1.363,yes,video,low,none,1
45.05,1,0,0.771,1076.8,1.113,no,video,medium,none,0
38.96,0,0,0.731,140.0,1.105,no,multimodal,medium,none,0
42.19,5,3,0.647,1386.1,1.523,no,text,low,none,0
19.69,2,0,0.532,262.2,1.27,no,text,medium,some,0
24.48,6,1,0.35,292.7,0.774,no,text,medium,none,0
56.73,3,1,0.595,1890.6,0.401,no,text,medium,none,0
54.82,2,1,0.598,1019.9,1.052,no,video,high,none,0
39.64,3,3,0.858,603.0,0.659,no,text,low,none,1
72.68,1,2,0.555,1771.2,0.932,no,text,low,some,0
58.28,4,2,0.752,518.9,1.138,no,text,high,some,1
53.69,2,1,0.473,374.9,1.277,no,image,low,some,0
6.02,5,1,0.757,646.7,1.017,no,video,medium,none,1
39.29,1,1,0.322,1129.2,2.446,no,image,low,none,0
34.31,7,2,0.99,175.5,0.719,no,multimodal,medium,none,1
78.93,1,1,0.657,286.7,1.955,no,text,medium,none,0
26.33,4,0,0.233,225.2,1.269,no,image,medium,some,0
32.24,2,1,0.565,191.3,1.021,no,text,low,some,0
11.17,3,3,0.54,476.7,1.644,no,multimodal,medium,some,0
13.35,2,1,0.575,187.3,1.124,no,text,high,none,0
79.09,5,3,0.622,84.9,0.947,no,multimodal,medium,frequent,1
42.07,4,0,0.574,284.7,2.245,no,video,high,frequent,1
97.42,2,2,0.549,268.2,0.253,no,video,high,none,1
25.96,5,4,0.495,769.4,1.228,yes,video,medium,none,1
7.72,2,1,0.811,1060.7,1.445,yes,image,medium,some,0
23.08,4,1,0.872,324.7,2.054,yes,text,medium,none,1
19.96,1,1,0.639,289.7,1.151,no,multimodal,high,none,0
49.21,3,0,0.677,1820.2,2.681,no,multimodal,medium,none,0
47.84,6,0,0.5,1033.7,1.73,no,text,low,none,0
43.58,1,1,0.691,707.7,0.2,no,text,low,some,0
117.37,1,0,0.717,417.8,0.623,yes,text,medium,some,1
69.88,5,0,0.645,1017.5,1.468,no,multimodal,high,frequent,1
14.24,1,0,0.743,207.4,0.778,yes,image,low,none,0
59.59,4,2,0.729,1050.2,1.624,no,video,high,some,0
30.66,2,0,0.511,797.0,1.123,no,text,low,none,0
25.39,5,0,0.871,909.3,0.752,yes,multimodal,low,none,0
75.76,3,1,0.647,608.3,0.868,yes,text,high,frequent,1
13.41,2,0,0.948,152.6,1.776,no,text,high,some,0
56.9,1,0,0.747,213.1,0.339,no,multimodal,medium,some,0
50.87,4,0,0.99,828.7,1.873,no,video,high,none,1
13.18,4,1,0.868,767.6,1.887,no,image,high,none,0
5.78,6,3,0.716,355.1,1.184,no,multimodal,high,some,1
28.1,2,4,0.564,348.9,0.648,yes,text,high,none,1
64.31,1,2,0.568,1253.0,1.628,no,text,low,none,0
39.18,6,0,0.765,549.3,1.107,yes,text,low,some,0
77.39,2,1,0.703,271.3,0.592,no,text,low,none,0
37.26,3,1,0.586,1393.1,2.305,no,video,low,none,0
80.84,7,1,0.813,1305.8,0.908,no,video,low,none,0
18.22,2,3,0.686,548.6,0.614,no,image,low,none,0
43.48,4,0,0.814,638.5,1.493,no,multimodal,low,none,0
21.72,1,0,0.524,1036.2,1.316,no,text,medium,none,0
27.42,2,0,0.84,871.6,2.093,yes,text,low,none,0
32.16,4,1,0.76,147.1,1.16,no,image,low,none,0
39.09,1,0,0.872,1424.4,1.165,no,multimodal,low,none,0
16.12,1,1,0.836,118.5,1.518,no,image,low,some,1
42.0,4,0,0.666,762.1,1.45,no,multimodal,medium,none,0
30.95,5,1,0.654,181.7,1.465,no,multimodal,high,some,1
8.19,2,2,0.965,870.4,1.486,no,multimodal,medium,some,1
4.82,1,2,0.634,298.9,1.432,no,multimodal,medium,none,0
64.47,3,1,0.8,317.2,1.142,no,video,high,none,0
26.37,7,2,0.619,995.0,1.766,yes,multimodal,medium,frequent,1
7.28,2,1,0.382,181.6,1.17,no,video,low,none,0
89.66,1,2,0.484,354.5,1.752,no,image,low,none,0
45.09,5,0,0.745,188.4,2.044,yes,text,medium,none,1
38.34,1,1,0.792,603.4,1.011,yes,multimodal,medium,some,1
14.85,2,0,0.745,185.0,2.552,no,image,high,none,0
8.07,0,0,0.863,715.3,0.994,no,multimodal,low,none,0
34.35,3,1,0.743,1294.2,0.997,no,multimodal,high,none,0
29.48,3,2,0.556,62.0,1.62,no,image,medium,some,1
11.35,7,1,0.775,300.2,1.571,no,image,high,none,0
10.96,7,0,0.707,205.9,1.386,no,text,medium,frequent,1
10.43,4,1,0.588,149.9,1.759,no,image,low,some,0
10.07,6,2,0.756,701.3,1.476,no,video,low,none,0
17.7,5,2,0.693,641.4,2.383,yes,text,low,none,1
38.35,2,2,0.583,1418.4,1.323,no,image,low,frequent,0
43.15,1,1,0.652,921.0,0.923,no,video,high,none,0
29.01,3,0,0.906,571.7,1.074,yes,text,low,none,1
33.18,4,0,0.901,677.8,1.586,no,text,low,none,1
44.63,0,3,0.71,353.9,1.593,no,text,low,none,0
3.41,4,1,0.689,694.7,1.453,yes,multimodal,medium,none,0
35.16,4,0,0.451,119.9,0.925,yes,text,low,some,0
71.98,1,1,0.955,490.1,1.904,no,text,low,some,1
25.83,3,2,0.846,778.9,2.318,no,image,high,none,1
62.7,1,4,0.8,469.5,1.365,no,video,low,none,1
26.21,4,0,0.316,310.6,2.255,no,multimodal,high,none,1
46.75,5,0,0.687,591.7,1.783,yes,image,low,some,0
37.78,6,1,0.66,270.5,2.459,no,video,medium,none,1
10.26,4,1,0.789,446.9,1.586,no,multimodal,medium,frequent,0
12.77,7,1,0.608,985.3,1.418,yes,multimodal,low,some,0
80.83,4,1,0.643,1029.7,1.771,yes,video,medium,some,0
54.06,0,1,0.779,651.8,1.133,no,video,low,none,0
27.63,2,0,0.556,224.4,1.554,no,text,low,none,0
24.83,3,0,0.588,412.2,2.015,no,image,high,none,0
14.94,2,2,0.711,600.1,1.76,no,multimodal,high,some,0
40.16,5,1,0.894,297.5,1.335,yes,text,low,frequent,1
16.12,4,0,0.809,1684.3,1.45,yes,text,medium,frequent,0
22.28,2,1,0.852,303.5,1.729,no,video,low,none,1
17.64,1,1,0.69,569.4,1.712,no,multimodal,low,some,0
51.74,5,2,0.919,1075.6,1.725,yes,text,low,none,1
26.74,3,2,0.401,1504.9,1.52,no,multimodal,medium,none,0
33.37,2,1,0.99,219.8,0.938,no,text,medium,some,1
10.46,3,0,0.99,124.0,1.017,yes,multimodal,medium,frequent,1
17.53,4,1,0.753,645.9,1.581,no,multimodal,high,some,1
33.93,6,3,0.813,1820.4,1.766,no,multimodal,medium,some,1
6.17,5,0,0.674,146.1,1.701,no,multimodal,low,none,0
25.17,4,1,0.646,424.9,1.012,yes,multimodal,low,some,1
29.7,0,4,0.582,688.3,1.274,no,multimodal,medium,some,0
9.19,4,0,0.672,589.2,0.763,yes,image,low,none,0
60.82,2,2,0.769,769.6,0.654,no,image,low,none,0
38.77,4,0,0.747,1361.1,1.391,no,text,low,none,0
26.58,1,1,0.99,1090.7,2.029,no,text,low,none,0
16.45,5,1,0.696,417.2,1.4,no,video,medium,some,0
5.9,4,1,0.442,143.7,2.304,no,text,medium,frequent,0
57.67,5,2,0.943,1148.5,1.268,no,multimodal,medium,some,1
20.61,3,4,0.485,423.8,1.366,no,text,high,none,1
7.72,4,0,0.59,583.2,0.854,yes,text,high,none,1
16.04,3,1,0.723,1013.5,1.176,no,text,low,none,0
41.79,4,2,0.747,1123.9,0.755,no,text,medium,some,1
35.89,1,0,0.449,972.8,0.577,no,text,low,none,0
11.4,3,2,0.561,1622.2,0.764,no,video,high,none,0
64.77,5,1,0.443,535.4,1.393,no,text,medium,some,0
7.61,3,1,0.779,320.2,0.982,yes,multimodal,low,none,0
73.92,3,1,0.869,244.1,1.1,no,image,medium,some,1
34.77,4,1,0.485,336.0,1.555,yes,video,medium,some,1
21.94,3,1,0.839,347.5,0.576,no,video,high,some,0
24.51,5,0,0.829,653.3,1.391,no,text,low,frequent,0
31.86,2,2,0.575,827.4,1.774,no,text,low,some,0
44.14,2,1,0.363,213.1,1.817,no,multimodal,high,none,1
4.76,5,2,0.509,1015.6,1.608,no,video,medium,none,0
15.58,2,0,0.585,1085.0,1.324,no,text,low,none,0
31.09,3,1,0.927,841.9,1.038,no,video,medium,none,1
66.45,3,1,0.661,378.0,1.309,yes,text,medium,some,1
64.74,0,0,0.519,1327.6,2.177,no,text,low,none,0
84.21,3,0,0.704,527.9,1.487,no,text,low,none,0
62.66,1,0,0.473,286.6,1.297,no,multimodal,low,some,0
14.54,2,1,0.762,211.1,1.632,no,image,low,none,0
29.61,5,2,0.524,613.7,1.375,no,video,low,none,0
62.92,2,0,0.547,383.7,1.463,no,text,low,some,0
58.8,2,1,0.74,160.3,1.227,no,text,medium,none,1
25.51,4,0,0.96,116.7,1.143,no,text,medium,none,0
43.27,2,0,0.99,684.8,1.848,no,image,low,none,1
20.51,3,0,0.514,137.1,0.375,no,multimodal,low,some,0
6.97,5,1,0.585,40.4,1.589,no,multimodal,low,some,1
27.32,5,0,0.762,1095.9,1.112,no,text,low,none,0
26.04,5,1,0.867,236.9,0.397,yes,text,high,none,1
19.7,6,1,0.334,766.1,0.863,no,text,low,some,0
44.27,1,2,0.694,604.3,1.332,no,multimodal,high,none,1
24.83,1,2,0.602,313.8,1.401,yes,image,medium,none,0
39.96,3,2,0.372,1430.0,1.72,no,multimodal,medium,none,0
51.08,2,1,0.466,855.6,1.754,no,image,high,none,0
126.68,2,2,0.589,502.9,0.577,no,video,medium,none,1
27.68,2,1,0.689,257.3,1.539,no,video,medium,none,0
67.08,5,3,0.841,807.8,1.714,no,video,low,none,1
35.51,5,0,0.737,899.2,1.459,no,image,medium,none,0
37.04,4,0,0.832,563.7,1.601,no,text,low,some,0
27.97,2,2,0.684,513.0,0.384,no,image,low,none,0
33.25,4,0,0.567,853.9,0.855,no,multimodal,high,some,0
25.02,2,0,0.651,493.7,2.033,no,text,medium,none,0
59.33,3,1,0.791,282.0,1.21,no,video,low,none,0
16.09,11,0,0.845,147.9,2.462,no,multimodal,high,frequent,1
6.89,6,1,0.656,496.7,0.711,yes,video,low,none,0
19.16,2,1,0.531,143.2,2.132,yes,image,high,some,1
17.46,2,0,0.734,907.1,1.045,no,text,medium,some,0
19.15,4,2,0.756,496.7,1.781,no,multimodal,low,none,1
26.83,9,2,0.877,1006.3,1.202,no,multimodal,low,some,1
19.21,0,2,0.571,639.1,1.408,no,multimodal,high,some,1
26.53,4,2,0.573,768.5,1.648,no,text,low,some,0
19.26,3,1,0.801,304.9,1.043,yes,multimodal,high,none,1
40.58,3,2,0.615,471.2,1.751,no,image,low,none,0
125.93,5,1,0.608,632.6,1.217,yes,video,low,none,1
34.99,0,2,0.881,579.7,1.439,no,text,medium,none,1
19.93,3,1,0.461,561.1,0.2,no,text,medium,none,0
1.91,4,3,0.99,208.7,1.181,yes,video,low,none,1
99.5,6,2,0.582,87.2,1.982,yes,image,medium,none,1
36.45,7,2,0.819,195.2,1.697,no,multimodal,low,some,1
26.35,6,0,0.663,26.7,1.793,no,text,low,frequent,0
2.1,2,1,0.723,102.3,1.377,no,multimodal,medium,none,1
27.45,4,3,0.638,666.7,2.188,yes,image,medium,none,1
33.04,2,2,0.817,424.6,1.494,no,text,medium,none,0
19.32,4,1,0.624,267.3,1.02,yes,text,medium,none,1
8.41,2,0,0.588,418.0,1.778,yes,multimodal,medium,none,0
7.83,4,1,0.97,66.9,1.811,no,multimodal,low,frequent,1
100.54,1,2,0.685,487.2,1.665,yes,text,high,none,1
32.33,2,1,0.572,159.0,1.149,no,image,low,none,0
19.31,2,1,0.442,1201.0,1.491,yes,image,high,none,0
30.88,3,0,0.978,794.0,2.047,no,video,medium,none,0
29.29,3,0,0.592,745.7,1.589,yes,video,medium,some,0
7.42,4,1,0.99,572.1,0.611,yes,multimodal,medium,some,1
56.67,3,2,0.744,843.2,1.036,yes,text,low,none,1
25.81,5,0,0.703,489.2,1.012,no,text,low,none,0
32.66,4,0,0.707,260.9,0.973,no,text,medium,some,0
79.09,6,2,0.99,755.1,0.294,no,multimodal,low,some,1
8.68,4,1,0.329,1045.0,2.295,no,video,low,none,0
15.36,3,1,0.714,220.1,0.912,no,text,medium,none,0
37.9,3,0,0.638,118.0,0.948,no,multimodal,low,none,0
55.9,3,1,0.646,1722.1,0.379,no,video,low,none,0
17.79,7,1,0.704,1305.6,1.783,no,image,medium,none,0
18.68,2,0,0.637,530.4,1.305,no,text,low,some,0
